sample,species
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5699_S263_L001_R1_001.fastq.gz,pow
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5699_S263_L002_R1_001.fastq.gz,pow
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5699_S263_L003_R1_001.fastq.gz,pow
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5699_S263_L004_R1_001.fastq.gz,pow
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5797_S262_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5797_S262_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5797_S262_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5797_S262_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/ANT5797_S5_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/YOK3341_S269_L001_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/YOK3341_S269_L002_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/YOK3341_S269_L003_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/YOK3341_S269_L004_R1_001.fastq.gz,pf
/scratch/antwerpen/203/vsc20380/summit-samples/data/fastq/YOK3341_S5_L001_R1_001.fastq.gz,pf
